id,Num_pages,Verify_pages,Awards,Genre,Setting,OriginalPDate,VerifyDate,Series,Series-Name,ISBN
13,515 pages,"['Paperback', '515 pages']","['Locus Award Nominee for Best First Novel (2007)', 'Compton Crook Award Nominee (2008)', 'Tähtifantasia Award Nominee (2010)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Adventure', 'Fantasy', 'Dark Fantasy', 'Audiobook', 'Adult', 'Science Fiction Fantasy', 'Fantasy', 'Magic']",[],['\n              (first published May 4th 2006)\n            '],"[<div class=""row"">
            Published
        March 8th 2007
         by Gollancz

            <nobr class=""greyText"">
              (first published May 4th 2006)
            </nobr>
</div>]",True,"
Series

The First Law #1, First Law World #1 
","
ISBN

                  0575079797
                      (ISBN13: 9780575079793)

"
14,386 pages,"['Hardcover', '386 pages']","['Locus Award for Best Fantasy Novel (1978)', 'Ditmar Award for Best International Long Fiction (1978)', 'Gandalf Award (1978)']","['Fantasy', 'Fiction', 'Classics', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Mythology', 'Literature', 'Adventure', 'Novels']",['Middle-earth'],['\n              (first published September 15th 1977)\n            '],"[<div class=""row"">
            Published
        November 15th 2004
         by Houghton Mifflin Company

            <nobr class=""greyText"">
              (first published September 15th 1977)
            </nobr>
</div>]",True,"
Series

Middle-earth Universe 
","
ISBN

                  0618391118
                      (ISBN13: 9780618391110)

"
15,657 pages,"['Mass Market Paperback', '657 pages']","['Locus Award Nominee for Best First Novel (2000)', 'World Fantasy Award Nominee for Best Novel (2000)', 'Prix Aurora Award Nominee for Best of the Decade (2017)', 'Le Blanc Award for Melhor Romance Estrangeiro de Fantasia, Ficção Científica ou Terror Publicado em Língua Portuguesa (2018)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Epic', 'Science Fiction Fantasy', 'Fantasy', 'Dark Fantasy', 'Fantasy', 'Magic', 'Adventure', 'Adult']",[],['\n              (first published April 1999)\n            '],"[<div class=""row"">
            Published
        January 2005
         by Tor Books

            <nobr class=""greyText"">
              (first published April 1999)
            </nobr>
</div>]",True,"
Series

Malazan Book of the Fallen #1, Малазанская «Книга Павших» #1, Malazan #5, Das Spiel der Götter #1                  ,
                      more

","
ISBN

                  0765348780
                      (ISBN13: 9780765348784)

"
16,30th Anniversary Edition,"['Paperback', '30th Anniversary Edition', '456 pages']",[],"['Fantasy', 'Fiction', 'Classics', 'Romance', 'Humor', 'Young Adult', 'Adventure', 'Science Fiction Fantasy', 'Humor', 'Comedy', 'Fantasy', 'Fairy Tales']",[],['\n              (first published September 1st 1973)\n            '],"[<div class=""row"">
            Published
        July 15th 2003
         by Ballantine Books

            <nobr class=""greyText"">
              (first published September 1st 1973)
            </nobr>
</div>]",False,NA,"
ISBN

                  0345418263
                      (ISBN13: 9780345418265)

"
17,1635 pages,"['Mass Market Paperback', '1635 pages']",[],"['Fantasy', 'Fantasy', 'Epic Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Young Adult', 'Classics', 'Fantasy', 'Magic', 'Epic']",[],['\n              (first published 1984)\n            '],"[<div class=""row"">
            Published
        October 28th 1986
         by Ballantine Books (P)

            <nobr class=""greyText"">
              (first published 1984)
            </nobr>
</div>]",True,"
Series

The Belgariad #1-5 
","
ISBN

                  0345340442
                      (ISBN13: 9780345340443)

"
18,183 pages,"['Paperback', '183 pages']","['Lewis Carroll Shelf Award (1979)', 'Boston Globe-Horn Book Award for Fiction (1969)', 'Złota Sepulka for Książka autora zagranicznego (1984)', 'Margaret A. Edwards Award (2004)']","['Fantasy', 'Fiction', 'Young Adult', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Magic', 'Science Fiction', 'Fantasy', 'High Fantasy', 'Adventure', 'Fantasy', 'Dragons']",['Earthsea Realm'],['\n              (first published 1967)\n            '],"[<div class=""row"">
            Published
        September 28th 2004
         by Bantam Spectra

            <nobr class=""greyText"">
              (first published 1967)
            </nobr>
</div>]",True,"
Series

Earthsea Cycle #1 
","
ISBN

                  0553383043
                      (ISBN13: 9780553383041)

"
19,485 pages,"['Mass Market Paperback', '485 pages']",[],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Magic', 'Adventure', 'Young Adult', 'Science Fiction', 'Childrens']",[],['\n              (first published October 1st 1982)\n            '],"[<div class=""row"">
            Published
        January 1st 1994
         by Bantam Spectra

            <nobr class=""greyText"">
              (first published October 1st 1982)
            </nobr>
</div>]",True,"
Series

The Riftwar Saga #1, Riftwar Cycle #1, Kriget om Rämnan #1                  ,
                      more

","
ISBN

                  0553564943
                      (ISBN13: 9780553564945)

"
20,1009 pages,"['Kindle Edition', '1009 pages']",['Locus Award for Best Fantasy Novel (1984)'],"['Fantasy', 'Fiction', 'Historical', 'Historical Fiction', 'Mythology', 'Arthurian', 'Fantasy', 'Mythology', 'Science Fiction Fantasy', 'Historical', 'Classics', 'Romance', 'Fantasy', 'Magic']","['Camelot', 'Avalon']",['\n              (first published December 1982)\n            '],"[<div class=""row"">
            Published
        July 15th 2001
         by Ballantine Books

            <nobr class=""greyText"">
              (first published December 1982)
            </nobr>
</div>]",True,"
Series

Avalon #1, Les Dames du lac #2, Avalon: Chronological Order #7                  ,
                      more

",NA
21,First American Edition,"['Mass Market Paperback', 'First American Edition', '491 pages']","['برنده جایزه آریلیس', 'Ditmar Award Nominee for Short Fiction (1996)', 'Aurealis Award for Fantasy Novel and Young Adult Novel (1995)', 'Lincoln Award Nominee (2005)']","['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Adventure', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Young Adult', 'Teen']","['Old Kingdom', 'Ancelstierre']",['\n              (first published May 1995)\n            '],"[<div class=""row"">
            Published
        September 30th 1996
         by Harper Collins

            <nobr class=""greyText"">
              (first published May 1995)
            </nobr>
</div>]",True,"
Series

The Old Kingdom #1, Abhorsen #1 
","
ISBN

                  0064471837
                      (ISBN13: 9780064471831)

"
22,First Edition,"['Hardcover', 'First Edition', '994 pages']","['Locus Award Nominee for Best Fantasy Novel (2012)', 'David Gemmell Legend Award for Best Fantasy Novel (2012)', 'Tähtifantasia Award Nominee (2016)', 'Goodreads Choice Award Nominee for Best Fantasy and for Favorite Book (2011)', 'Prix Elbakin.net for Meilleur roman fantasy traduit (2013)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adventure', 'Audiobook', 'Adult', 'Epic']",[],[],"[<div class=""row"">
            Published
        March 1st 2011
         by DAW Books

      </div>]",True,"
Series

The Kingkiller Chronicle #2 
","
ISBN

                  0756404738
                      (ISBN13: 9780756404734)

"
23,1392 pages,"['Hardcover', '1392 pages']",[],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Fantasy', 'Dark Fantasy', 'Adult', 'Science Fiction Fantasy', 'Adventure', 'Epic']",[],[],"[<div class=""row"">
            Published
        January 2009
         by SFBC

      </div>]",True,"
Series

Night Angel #1-3 
","
ISBN

                  160751351X
                      (ISBN13: 9781607513513)

"
24,373 pages,"['Hardcover', '373 pages']","[""Grand Prix de l'Imaginaire Nominee (2013)"", 'David Gemmell Morningstar Award Nominee for Best Fantasy Newcomer (2012)', 'Goodreads Choice Award Nominee for Fantasy (2011)']","['Fantasy', 'Fiction', 'Fantasy', 'Dark Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Young Adult', 'Adult', 'Dark', 'Apocalyptic', 'Post Apocalyptic', 'Science Fiction']",[],['\n              (first published 2011)\n            '],"[<div class=""row"">
            Published
        August 2nd 2011
         by Voyager

            <nobr class=""greyText"">
              (first published 2011)
            </nobr>
</div>]",True,"
Series

The Broken Empire #1 
","
ISBN

                  0007423292
                      (ISBN13: 9780007423293)

"
25,864 pages,"['Hardcover', '864 pages']",[],"['Fantasy', 'Science Fiction', 'Fiction', 'Fantasy', 'Dragons', 'Science Fiction Fantasy', 'Young Adult', 'Adventure', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction', 'Time Travel']",['Pern'],[],"[<div class=""row"">
            Published
        October 12th 1988
         by Turtleback Books

      </div>]",True,"
Series

Dragonriders of Pern #1-3, Pern (Chronological Order), Pern  #1, 2 & 5                  ,
                      more

","
ISBN

                  0785729194
                      (ISBN13: 9780785729198)

"
26,First Edition,"['Hardcover', 'First Edition', '416 pages']","['Locus Award Nominee for Best First Novel (2009)', 'LovelyBooks Leserpreis for Bester Klappentext (2009)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Adventure', 'Paranormal', 'Demons', 'Fantasy', 'Dark Fantasy', 'Science Fiction Fantasy', 'Adult']",[],['\n              (first published September 2008)\n            '],"[<div class=""row"">
            Published
        March 10th 2009
         by Random House

            <nobr class=""greyText"">
              (first published September 2008)
            </nobr>
</div>]",True,"
Series

Demon Cycle #1 
","
ISBN

                  0345503805
                      (ISBN13: 9780345503800)

"
27,471 pages,"['Hardcover', '471 pages']","['Locus Award Nominee for Best First Novel (2009)', ""Mythopoeic Fantasy Award for Children's Literature (2009)"", 'William C. Morris YA Debut Award Nominee (2009)', 'Rhode Island Teen Book Award (2011)', 'Milwaukee County Teen Book Award Nominee (2010)', 'Sakura Medal Nominee for High School Book (2010)', 'Florida Teens Read Nominee (2010)', 'Amelia Elizabeth Walden Award Nominee (2009)', 'Iowa High School Book Award Nominee (2011)', 'California Young Readers Medal for Young Adult (2012)', 'Lincoln Award Nominee (2011)', 'Andre Norton Award Nominee (2008)', 'CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2008)', 'Green Mountain Book Award (2011)', 'Missouri Gateway Readers Award Nominee (2011)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Adventure', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Young Adult', 'Teen', 'Fantasy', 'Paranormal']",[],[],"[<div class=""row"">
            Published
        October 1st 2008
         by Harcourt

      </div>]",True,"
Series

Graceling Realm #1 
","
ISBN13
9780152063962
"
28,228 pages,"['Paperback', '228 pages']",['Margaret A. Edwards Award (2011)'],"['Fantasy', 'Fiction', 'Humor', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Science Fiction', 'Fantasy', 'Magic', 'Adventure', 'Fantasy', 'High Fantasy', 'Novels']","['Discworld', 'Ankh-Morpork']",['\n              (first published November 24th 1983)\n            '],"[<div class=""row"">
            Published
        September 13th 2005
         by Harper

            <nobr class=""greyText"">
              (first published November 24th 1983)
            </nobr>
</div>]",True,"
Series

Discworld #1, Discworld - Rincewind #1 
","
ISBN

                  0060855924
                      (ISBN13: 9780060855925)

"
29,491 pages,"['Mass Market Paperback', '491 pages']","['Locus Award Nominee for Best Fantasy Novel (1991)', 'World Fantasy Award Nominee for Best Novel (1991)']","['Fantasy', 'Fiction', 'Humor', 'Fantasy', 'Urban Fantasy', 'Humor', 'Comedy', 'Audiobook', 'Science Fiction Fantasy', 'Adult', 'Science Fiction', 'Fantasy', 'Supernatural']","['London, England', 'Lower Tadfield, England']",['\n              (first published May 1st 1990)\n            '],"[<div class=""row"">
            Published
        November 28th 2006
         by William Morrow

            <nobr class=""greyText"">
              (first published May 1st 1990)
            </nobr>
</div>]",False,NA,NA
30,1015 pages,"['Paperback', '1015 pages']","['Locus Award for Best First Novel (2002)', 'Gaylactic Spectrum Award Nominee for Best Novel (2002)', ""Romantic Times Reviewers' Choice Award (RT Award) for Best Fantasy Novel (2001)""]","['Fantasy', 'Romance', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Adult Fiction', 'Erotica', 'Adult', 'Science Fiction Fantasy', 'Fantasy', 'High Fantasy', 'Erotica', 'BDSM', 'Adventure']","[""Terre D'Ange""]",['\n              (first published June 23rd 2001)\n            '],"[<div class=""row"">
            Published
        September 5th 2003
         by Tor Fantasy

            <nobr class=""greyText"">
              (first published June 23rd 2001)
            </nobr>
</div>]",True,"
Series

Phèdre's Trilogy #1, Kushiel's Legacy #1, Kushiel's Universe #1                  ,
                      more

","
ISBN

                  0330493744
                      (ISBN13: 9780330493741)

"
