id,Num_pages,Verify_pages,Awards,Genre,Setting,OriginalPDate,VerifyDate,Series,Series-Name,ISBN
0,835 pages,"['Mass Market Paperback', '835 pages']","['Nebula Award Nominee for Best Novel (1997)', 'Locus Award for Best Fantasy Novel (1997)', 'World Fantasy Award Nominee for Best Novel (1997)', 'Premio Ignotus for Novela extranjera (2003)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Adult', 'Science Fiction Fantasy', 'Fantasy', 'High Fantasy', 'Adventure', 'Fantasy', 'Dragons', 'Audiobook', 'Epic']",['The Lands of Ice and Fire'],['\n              (first published August 6th 1996)\n            '],"[<div class=""row"">
            Published
        August 2005
         by Bantam

            <nobr class=""greyText"">
              (first published August 6th 1996)
            </nobr>
</div>]",True,"
Series

A Song of Ice and Fire #1 
","
ISBN

                  0553588486
                      (ISBN13: 9780553588484)

"
1,Hobbit Movie Tie-in Boxed set,"['Mass Market Paperback', 'Hobbit Movie Tie-in Boxed set', '1728 pages']",[],"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Fantasy', 'Magic']",['Middle-earth'],['\n              (first published October 20th 1955)\n            '],"[<div class=""row"">
            Published
        September 25th 2012
         by Ballantine Books

            <nobr class=""greyText"">
              (first published October 20th 1955)
            </nobr>
</div>]",True,"
Series

The Lord of the Rings #0-3, Middle-earth Universe 
","
ISBN

                  0345538374
                      (ISBN13: 9780345538376)

"
2,662 pages,"['Hardcover', '662 pages']","['Locus Award Nominee for Best First Novel and Best Fantasy Novel (2008)', 'Compton Crook Award Nominee (2008)', ""Grand Prix de l'Imaginaire Nominee for Roman étranger and Traduction (2010)"", 'ALA Alex Award (2008)', 'The Quill Award for Science Fiction/Fantasy/Horror (2007)', 'Sakura Medal for High School Book (2009)', 'Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2010)', 'Tähtifantasia Award Nominee (2011)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult', 'Adventure', 'Audiobook', 'Epic']",[],['\n              (first published March 27th 2007)\n            '],"[<div class=""row"">
            Published
        April 2007
         by Penguin Group DAW

            <nobr class=""greyText"">
              (first published March 27th 2007)
            </nobr>
</div>]",True,"
Series

The Kingkiller Chronicle #1 
","
ISBN

                  075640407X
                      (ISBN13: 9780756404079)

"
3,1007 pages,"['Hardcover', '1007 pages']","['Locus Award Nominee for Best Fantasy Novel (2011)', 'David Gemmell Legend Award for Best Fantasy Novel (2011)', 'Whitney Award for Best Novel (2010)', 'Goodreads Choice Award Nominee for Fantasy and for Favorite Book and for Goodreads Author (2010)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Adult', 'Epic', 'Fantasy', 'Magic', 'Adventure']",['Roshar'],[],"[<div class=""row"">
            Published
        August 31st 2010
         by Tor Books

      </div>]",True,"
Series

The Stormlight Archive #1, The Cosmere 
","
ISBN

                  0765326353
                      (ISBN13: 9780765326355)

"
4,Reissue Edition,"['Paperback', 'Reissue Edition', '767 pages']",[],"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Childrens', 'Middle Grade', 'Science Fiction Fantasy', 'Christian Fiction']","['London, England']",['\n              (first published 1956)\n            '],"[<div class=""row"">
            Published
        September 16th 2002
         by HarperCollins

            <nobr class=""greyText"">
              (first published 1956)
            </nobr>
</div>]",True,"
Series

The Chronicles of Narnia (Publication Order) #1–7, The Chronicles of Narnia (Chronological Order) #1–7 
",NA
5,814 pages,"['Mass Market Paperback', '814 pages']",['Locus Award Nominee for Best Fantasy Book (1991)'],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Fantasy', 'Magic', 'Adult', 'Audiobook', 'Epic']","[""Emond's Field"", 'Caemlyn', 'The Blight']",['\n              (first published January 15th 1990)\n            '],"[<div class=""row"">
            Published
        November 15th 1990
         by Tor Books

            <nobr class=""greyText"">
              (first published January 15th 1990)
            </nobr>
</div>]",True,"
Series

The Wheel of Time #1 
","
ISBN

                  0812511816
                      (ISBN13: 9780812511819)

"
