,name,author,number of ratings,url,avg_ratings
0,"  A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"2,048,759",https://www.goodreads.com//book/show/13496.A_Game_of_Thrones,4.45
1,  J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"112,523",https://www.goodreads.com//book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,4.60
2,"  The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss (Goodreads Author),"740,181",https://www.goodreads.com//book/show/186074.The_Name_of_the_Wind,4.52
3,"  The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson (Goodreads Author),"320,210",https://www.goodreads.com//book/show/7235533-the-way-of-kings,4.62
4,"  The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"533,426",https://www.goodreads.com//book/show/11127.The_Chronicles_of_Narnia,4.26
5,"  The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"402,909",https://www.goodreads.com//book/show/228665.The_Eye_of_the_World,4.17
6,"  The Final Empire (Mistborn, #1)",Brandon Sanderson (Goodreads Author),"420,083",https://www.goodreads.com//book/show/68428.The_Final_Empire,4.44
7,  His Dark Materials (His Dark Materials #1-3),Philip Pullman,"147,493",https://www.goodreads.com//book/show/18116.His_Dark_Materials,4.25
8,"  Eragon (The Inheritance Cycle, #1)",Christopher Paolini (Goodreads Author),"1,471,422",https://www.goodreads.com//book/show/113436.Eragon,3.91
9,"  Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb (Goodreads Author),"242,251",https://www.goodreads.com//book/show/77197.Assassin_s_Apprentice,4.15
10,"  The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch (Goodreads Author),"233,001",https://www.goodreads.com//book/show/29588376-the-lies-of-locke-lamora,4.26
11,  The Gunslinger,Stephen King (Goodreads Author),"525,699",https://www.goodreads.com//book/show/43615.The_Gunslinger,3.94
12,"  Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"232,750",https://www.goodreads.com//book/show/43889.Wizard_s_First_Rule,4.12
13,"  The Blade Itself (The First Law, #1)",Joe Abercrombie,"171,324",https://www.goodreads.com//book/show/944073.The_Blade_Itself,4.16
14,  The Silmarillion,J.R.R. Tolkien,"226,137",https://www.goodreads.com//book/show/7332.The_Silmarillion,3.93
15,"  Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson (Goodreads Author),"94,177",https://www.goodreads.com//book/show/55399.Gardens_of_the_Moon,3.88
16,  The Princess Bride,William Goldman,"794,357",https://www.goodreads.com//book/show/21787.The_Princess_Bride,4.25
17,"  The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad, #1-5)",David Eddings,"14,522",https://www.goodreads.com//book/show/44660.The_Belgariad_Boxed_Set,4.27
18,"  A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"249,078",https://www.goodreads.com//book/show/13642.A_Wizard_of_Earthsea,3.99
19,"  Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,"86,769",https://www.goodreads.com//book/show/13812.Magician,4.14
20,"  The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,"195,379",https://www.goodreads.com//book/show/40605251-the-mists-of-avalon,4.11
21,"  Sabriel (Abhorsen,  #1)",Garth Nix (Goodreads Author),"190,896",https://www.goodreads.com//book/show/518848.Sabriel,4.14
22,"  The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss (Goodreads Author),"441,292",https://www.goodreads.com//book/show/1215032.The_Wise_Man_s_Fear,4.55
23,"  The Night Angel Trilogy (Night Angel, #1-3)",Brent Weeks (Goodreads Author),"23,896",https://www.goodreads.com//book/show/6122735-the-night-angel-trilogy,4.42
24,"  Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence (Goodreads Author),"98,140",https://www.goodreads.com//book/show/9579634-prince-of-thorns,3.85
25,"  The Dragonriders of Pern (Dragonriders of Pern, #1-3)",Anne McCaffrey,"27,375",https://www.goodreads.com//book/show/61942.The_Dragonriders_of_Pern,4.24
26,"  The Warded Man (Demon Cycle, #1)",Peter V. Brett (Goodreads Author),"111,989",https://www.goodreads.com//book/show/3428935-the-warded-man,4.23
27,"  Graceling (Graceling Realm, #1)",Kristin Cashore,"395,978",https://www.goodreads.com//book/show/3236307-graceling,4.07
28,"  The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"324,190",https://www.goodreads.com//book/show/34497.The_Color_of_Magic,3.99
29,"  Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"561,968",https://www.goodreads.com//book/show/12067.Good_Omens,4.24
30,"  Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey (Goodreads Author),"75,122",https://www.goodreads.com//book/show/153008.Kushiel_s_Dart,3.99
31,"  Redwall (Redwall, #1)",Brian Jacques,"107,810",https://www.goodreads.com//book/show/7996.Redwall,4.10
32,"  Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson (Goodreads Author),"218,589",https://www.goodreads.com//book/show/17332218-words-of-radiance,4.74
33,  Dragonlance Chronicles (Dragonlance #1-3),Margaret Weis (Goodreads Author),"19,544",https://www.goodreads.com//book/show/68380.Dragonlance_Chronicles,4.23
34,"  Furies of Calderon (Codex Alera, #1)",Jim Butcher (Goodreads Author),"99,444",https://www.goodreads.com//book/show/29396.Furies_of_Calderon,4.11
35,"  Blood Song (Raven's Shadow, #1)",Anthony Ryan (Goodreads Author),"76,044",https://www.goodreads.com//book/show/13569581-blood-song,4.39
36,"  The Dark Elf Trilogy Collector's Edition (Forgotten Realms: Dark Elf Trilogy, #1-3; Legend of Drizzt, #1-3)",R.A. Salvatore,"25,949",https://www.goodreads.com//book/show/68418.The_Dark_Elf_Trilogy_Collector_s_Edition,4.34
37,"  The Earthsea Trilogy (Earthsea Cycle, #1-3)",Ursula K. Le Guin,"18,509",https://www.goodreads.com//book/show/1170158.The_Earthsea_Trilogy,4.27
38,"  The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams (Goodreads Author),"65,441",https://www.goodreads.com//book/show/91981.The_Dragonbone_Chair,3.94
39,"  The Black Prism (Lightbringer, #1)",Brent Weeks (Goodreads Author),"104,854",https://www.goodreads.com//book/show/7165300-the-black-prism,4.21
40,"  Fool's Errand (Tawny Man, #1)",Robin Hobb (Goodreads Author),"78,986",https://www.goodreads.com//book/show/68488.Fool_s_Errand,4.29
41,"  The Sword of Shannara Trilogy (Shannara, #1-3)",Terry Brooks (Goodreads Author),"21,709",https://www.goodreads.com//book/show/478894.The_Sword_of_Shannara_Trilogy,3.95
42,  The Neverending Story,Michael Ende,"172,141",https://www.goodreads.com//book/show/27712.The_Neverending_Story,4.16
43,"  Theft of Swords (The Riyria Revelations, #1-2)",Michael J. Sullivan (Goodreads Author),"58,922",https://www.goodreads.com//book/show/10790290-theft-of-swords,4.18
44,"  The Great Book of Amber (The Chronicles of Amber, #1-10)",Roger Zelazny,"24,285",https://www.goodreads.com//book/show/5367.The_Great_Book_of_Amber,4.30
45,"  Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce (Goodreads Author),"120,386",https://www.goodreads.com//book/show/13831.Alanna,4.24
46,  Tigana,Guy Gavriel Kay (Goodreads Author),"45,323",https://www.goodreads.com//book/show/104089.Tigana,4.06
47,"  The Once and Future King (The Once and Future King, #1-4)",T.H. White,"103,910",https://www.goodreads.com//book/show/43545.The_Once_and_Future_King,4.04
48,"  Warbreaker (Warbreaker, #1)",Brandon Sanderson (Goodreads Author),"124,005",https://www.goodreads.com//book/show/1268479.Warbreaker,4.26
49,"  Ship of Magic (Liveship Traders, #1)",Robin Hobb (Goodreads Author),"65,727",https://www.goodreads.com//book/show/45100.Ship_of_Magic,4.13
50,"  His Majesty's Dragon (Temeraire, #1)",Naomi Novik (Goodreads Author),"82,682",https://www.goodreads.com//book/show/28876.His_Majesty_s_Dragon,4.04
51,"  The Chronicles of Thomas Covenant, the Unbeliever (The Chronicles of Thomas Covenant the Unbeliever, #1-3)",Stephen R. Donaldson,"14,409",https://www.goodreads.com//book/show/179033.The_Chronicles_of_Thomas_Covenant_the_Unbeliever,3.80
52,"  Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,"227,145",https://www.goodreads.com//book/show/6294.Howl_s_Moving_Castle,4.25
53,"  The Black Company (The Chronicles of the Black Company, #1)",Glen Cook,"44,592",https://www.goodreads.com//book/show/140671.The_Black_Company,3.91
54,  The Chronicles of Prydain (The Chronicles of Prydain #1-5),Lloyd Alexander,"6,628",https://www.goodreads.com//book/show/463063.The_Chronicles_of_Prydain,4.41
55,"  The Dark Is Rising (The Dark is Rising, #2)",Susan Cooper (Goodreads Author),"51,797",https://www.goodreads.com//book/show/210329.The_Dark_Is_Rising,4.05
56,"  The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)",Anne Bishop,"12,912",https://www.goodreads.com//book/show/47953.The_Black_Jewels_Trilogy,4.39
57,"  The Blue Sword (Damar, #1)",Robin McKinley,"59,782",https://www.goodreads.com//book/show/407813.The_Blue_Sword,4.18
58,"  The Magicians' Guild (Black Magician Trilogy, #1)",Trudi Canavan,"75,199",https://www.goodreads.com//book/show/28249.The_Magicians_Guild,3.94
59,  The Children of Húrin,J.R.R. Tolkien,"69,687",https://www.goodreads.com//book/show/597790.The_Children_of_H_rin,3.96
60,"  The Crystal Cave (Arthurian Saga, #1)",Mary  Stewart,"42,180",https://www.goodreads.com//book/show/82192.The_Crystal_Cave,4.13
61,"  The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud (Goodreads Author),avg,https://www.goodreads.com//book/show/334123.The_Amulet_of_Samarkand,really
62,"  Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier (Goodreads Author),"58,665",https://www.goodreads.com//book/show/13928.Daughter_of_the_Forest,4.23
63,  The Odyssey,Homer,"878,025",https://www.goodreads.com//book/show/1381.The_Odyssey,3.77
64,  The Eyes of the Dragon,Stephen King (Goodreads Author),"108,284",https://www.goodreads.com//book/show/10611.The_Eyes_of_the_Dragon,3.93
65,  The Fionavar Tapestry (The Fionavar Tapestry #1-3),Guy Gavriel Kay (Goodreads Author),"6,849",https://www.goodreads.com//book/show/1148721.The_Fionavar_Tapestry,4.21
66,"  Elric of Melniboné (The Elric Saga, #1)",Michael Moorcock,"23,182",https://www.goodreads.com//book/show/30036.Elric_of_Melnibon_,3.89
67,"  The Hero and the Crown (Damar, #2)",Robin McKinley,"50,200",https://www.goodreads.com//book/show/77366.The_Hero_and_the_Crown,4.21
68,"  The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"128,483",https://www.goodreads.com//book/show/60400.The_Ruins_of_Gorlan,4.21
69,"  The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3; Legend of Drizzt, #4-6)",R.A. Salvatore,"15,273",https://www.goodreads.com//book/show/62485.The_Icewind_Dale_Trilogy_Collector_s_Edition,4.30
70,"  The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3)",Elizabeth Moon,"12,296",https://www.goodreads.com//book/show/96281.The_Deed_of_Paksenarrion,4.30
71,"  Throne of Glass (Throne of Glass, #1)",Sarah J. Maas (Goodreads Author),"632,146",https://www.goodreads.com//book/show/7896527-throne-of-glass,4.20
72,"  A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"677,266",https://www.goodreads.com//book/show/62291.A_Storm_of_Swords,4.53
73,"  Elantris (Elantris, #1)",Brandon Sanderson (Goodreads Author),"184,358",https://www.goodreads.com//book/show/68427.Elantris,4.17
74,"  The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"205,675",https://www.goodreads.com//book/show/40603587-the-last-wish,4.12
75,"  King of Thorns (The Broken Empire, #2)",Mark  Lawrence (Goodreads Author),"56,361",https://www.goodreads.com//book/show/12891107-king-of-thorns,4.20
76,"  On a Pale Horse (Incarnations of Immortality, #1)",Piers Anthony,"36,271",https://www.goodreads.com//book/show/76658.On_a_Pale_Horse,4.14
77,"  The Curse of Chalion (World of the Five Gods, #1)",Lois McMaster Bujold (Goodreads Author),"36,540",https://www.goodreads.com//book/show/61886.The_Curse_of_Chalion,4.11
78,"  The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle (Goodreads Author),"100,135",https://www.goodreads.com//book/show/29127.The_Last_Unicorn,4.14
79,"  Daughter of the Empire (The Empire Trilogy, #1)",Raymond E. Feist,"33,126",https://www.goodreads.com//book/show/589979.Daughter_of_the_Empire,4.27
80,"  Across the Nightingale Floor (Tales of the Otori, #1)",Lian Hearn,"36,323",https://www.goodreads.com//book/show/77160.Across_the_Nightingale_Floor,4.06
81,"  The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"2,188,081",https://www.goodreads.com//book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,4.22
82,"  Dragon Wing (The Death Gate Cycle, #1)",Margaret Weis (Goodreads Author),"26,084",https://www.goodreads.com//book/show/28481.Dragon_Wing,3.96
83,"  The Crown Conspiracy (The Riyria Revelations, #1)",Michael J. Sullivan (Goodreads Author),"19,468",https://www.goodreads.com//book/show/4345290-the-crown-conspiracy,4.19
84,"  Wild Magic (Immortals, #1)",Tamora Pierce (Goodreads Author),"76,264",https://www.goodreads.com//book/show/13836.Wild_Magic,4.27
85,  Best Served Cold,Joe Abercrombie,"68,038",https://www.goodreads.com//book/show/2315892.Best_Served_Cold,4.16
86,"  Rhapsody: Child of Blood (Symphony of Ages, #1)",Elizabeth Haydon,"18,858",https://www.goodreads.com//book/show/261604.Rhapsody,3.96
87,"  Green Rider (Green Rider, #1)",Kristen Britain,"36,067",https://www.goodreads.com//book/show/147843.Green_Rider,4.03
88,"  The Diamond Throne (The Elenium, #1)",David Eddings,"32,551",https://www.goodreads.com//book/show/616678.The_Diamond_Throne,3.96
89,"  Arrows of the Queen (Heralds of Valdemar, #1)",Mercedes Lackey,"37,683",https://www.goodreads.com//book/show/13986.Arrows_of_the_Queen,4.09
90,"  Riddle-Master (Riddle-Master, #1-3)",Patricia A. McKillip,"10,243",https://www.goodreads.com//book/show/19821.Riddle_Master,4.22
91,"  The Hero of Ages (Mistborn, #3)",Brandon Sanderson (Goodreads Author),"276,670",https://www.goodreads.com//book/show/2767793-the-hero-of-ages,4.48
92,  Magic's Pawn (The Last Herald-Mage #1),Mercedes Lackey,"24,199",https://www.goodreads.com//book/show/28759.Magic_s_Pawn,4.21
93,"  Jhereg (Vlad Taltos, #1)",Steven Brust (Goodreads Author),"13,881",https://www.goodreads.com//book/show/133454.Jhereg,4.13
94,"  The Way of Shadows (Night Angel, #1)",Brent Weeks (Goodreads Author),"152,406",https://www.goodreads.com//book/show/3227063-the-way-of-shadows,4.14
95,  The Lions of Al-Rassan,Guy Gavriel Kay (Goodreads Author),"19,446",https://www.goodreads.com//book/show/104101.The_Lions_of_Al_Rassan,4.29
96,"  The Magic of Recluce (The Saga of Recluce, #1)",L.E. Modesitt Jr. (Goodreads Author),"22,846",https://www.goodreads.com//book/show/185253.The_Magic_of_Recluce,3.85
97,"  Dragon Prince (Dragon Prince, #1)",Melanie Rawn,"15,261",https://www.goodreads.com//book/show/185289.Dragon_Prince,3.95
98,"  The Gormenghast Novels (Gormenghast, #1-3)",Mervyn Peake,"8,429",https://www.goodreads.com//book/show/39058.The_Gormenghast_Novels,3.99
99,"  Seventh Son (Tales of Alvin Maker, #1)",Orson Scott Card,"33,498",https://www.goodreads.com//book/show/40290.Seventh_Son,3.87
100,  The Iliad,Homer,"360,080",https://www.goodreads.com//book/show/1371.The_Iliad,3.87
101,"  The Great Hunt (The Wheel of Time, #2)",Robert Jordan,"234,699",https://www.goodreads.com//book/show/233649.The_Great_Hunt,4.22
102,"  The Well of Ascension (Mistborn, #2)",Brandon Sanderson (Goodreads Author),"297,573",https://www.goodreads.com//book/show/68429.The_Well_of_Ascension,4.35
103,"  The Briar King (Kingdoms of Thorn and Bone, #1)",Greg Keyes,"11,063",https://www.goodreads.com//book/show/91964.The_Briar_King,3.73
104,"  Black Sun Rising (The Coldfire Trilogy, #1)",C.S. Friedman,"17,689",https://www.goodreads.com//book/show/36159.Black_Sun_Rising,3.93
105,"  Emperor of Thorns (The Broken Empire, #3)",Mark  Lawrence (Goodreads Author),"44,733",https://www.goodreads.com//book/show/15985373-emperor-of-thorns,4.25
106,"  Legend (The Drenai Saga, #1)",David Gemmell,"27,205",https://www.goodreads.com//book/show/618177.Legend,4.27
107,  The Farseer Trilogy (Farseer Trilogy #1-3),Robin Hobb (Goodreads Author),"18,940",https://www.goodreads.com//book/show/10762697-the-farseer-trilogy,4.38
108,"  Pawn of Prophecy (The Belgariad, #1)",David Eddings,"97,609",https://www.goodreads.com//book/show/44659.Pawn_of_Prophecy,4.14
109,  A Song for Arbonne,Guy Gavriel Kay (Goodreads Author),"12,806",https://www.goodreads.com//book/show/104085.A_Song_for_Arbonne,4.21
110,"  Luck in the Shadows (Nightrunner, #1)",Lynn Flewelling (Goodreads Author),"18,734",https://www.goodreads.com//book/show/74270.Luck_in_the_Shadows,4.08
111,"  The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,"219,704",https://www.goodreads.com//book/show/34897.The_Dragon_Reborn,4.25
112,  Deryni Rising (The Chronicles of the Deryni #1),Katherine Kurtz,"7,016",https://www.goodreads.com//book/show/537124.Deryni_Rising,3.95
113,"  A Discovery of Witches (All Souls Trilogy, #1)",Deborah Harkness (Goodreads Author),avg,https://www.goodreads.com//book/show/8667848-a-discovery-of-witches,really
114,"  The Demon King (Seven Realms, #1)",Cinda Williams Chima (Goodreads Author),"71,684",https://www.goodreads.com//book/show/6342491-the-demon-king,4.13
115,"  Magician (The Riftwar Saga, #1-2)",Raymond E. Feist,"63,302",https://www.goodreads.com//book/show/43916.Magician,4.28
116,"  Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne (Goodreads Author),"80,587",https://www.goodreads.com//book/show/9533378-hounded,4.08
117,"  The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin (Goodreads Author),"58,582",https://www.goodreads.com//book/show/6437061-the-hundred-thousand-kingdoms,3.86
118,"  The Darkness That Comes Before (The Prince of Nothing, #1)",R. Scott Bakker,"18,061",https://www.goodreads.com//book/show/301538.The_Darkness_That_Comes_Before,3.79
119,"  Deadhouse Gates (Malazan Book of the Fallen, #2)",Steven Erikson (Goodreads Author),"60,529",https://www.goodreads.com//book/show/55401.Deadhouse_Gates,4.22
120,"  The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,"177,241",https://www.goodreads.com//book/show/9539.The_Shadow_Rising,4.23
121,"  The Golden Compass (His Dark Materials, #1)",Philip Pullman,"1,313,775",https://www.goodreads.com//book/show/119322.The_Golden_Compass,3.99
